srcip,dstip,srcport,dstport,proto,time,pkt_len,version,ihl,tos,id,flag,off,ttl,chksum
3992027753,2325249714,443,33195,TCP,1521118750461923,1400,4,5,0,27106,2,0,88,14840
3223949995,2332752498,50527,443,TCP,1521118750461924,40,4,5,0,8563,2,0,115,3595
1056685515,3618636787,443,27308,TCP,1521118750461924,52,4,5,0,8751,2,0,234,38442
284281003,1074109364,80,63403,TCP,1521118750461924,1500,4,5,8,45145,2,0,59,54372
568626588,3261365128,443,50749,TCP,1521118750461928,44,4,5,0,0,2,0,54,22367
1054166311,3452139989,443,2245,TCP,1521118750461929,52,4,5,0,24240,2,0,46,6783
284281003,1074109364,80,63403,TCP,1521118750461936,1500,4,5,8,45146,2,0,59,54371
1904779786,3608918986,12515,26454,UDP,1521118750461939,1466,4,5,0,24981,0,0,117,14373
3883939779,3337741176,57986,5469,TCP,1521118750461941,40,4,5,0,30325,0,0,245,34220
268955756,3261364847,80,27703,TCP,1521118750461941,1452,4,5,0,51223,2,0,54,14829
268651685,3347702510,65034,51740,UDP,1521118750461945,1400,4,5,0,0,2,0,57,13653
2087007443,2270145432,443,23529,TCP,1521118750461946,303,4,5,0,24088,2,0,116,50064
2087007444,2270145412,443,16254,TCP,1521118750461947,303,4,5,0,13833,2,0,118,59826
268651685,3347702510,65034,51740,UDP,1521118750461949,1400,4,5,0,0,2,0,57,13653
268651685,3347702510,65034,51740,UDP,1521118750461950,1400,4,5,0,0,2,0,57,13653
792616631,3617761277,443,42087,TCP,1521118750461951,1480,4,5,0,51876,2,0,246,42741
284281003,1074109364,80,63403,TCP,1521118750461952,1500,4,5,8,45147,2,0,59,54370
268651685,3347702510,65034,51740,UDP,1521118750461954,1400,4,5,0,0,2,0,57,13653
268651685,3347702510,65034,51740,UDP,1521118750461955,1400,4,5,0,0,2,0,57,13653
268651685,3347702510,65034,51740,UDP,1521118750461956,1400,4,5,0,0,2,0,57,13653
268651685,3347702510,65034,51740,UDP,1521118750461959,1400,4,5,0,0,2,0,57,13653
268651685,3347702510,65034,51740,UDP,1521118750461960,1400,4,5,0,0,2,0,57,13653
268955756,3261364847,80,27703,TCP,1521118750461962,1452,4,5,0,51224,2,0,54,14828
268651685,3347702510,65034,51740,UDP,1521118750461963,1400,4,5,0,0,2,0,57,13653
3766892111,3334586145,443,59843,TCP,1521118750461965,1452,4,5,0,60017,2,0,60,45601
3766892111,3334586145,443,59843,TCP,1521118750461966,1452,4,5,0,60018,2,0,60,45600
268651685,3347702510,65034,51740,UDP,1521118750461967,1400,4,5,0,0,2,0,57,13653
284281003,1074109364,80,63403,TCP,1521118750461968,1500,4,5,8,45148,2,0,59,54369
284281003,1074109364,80,63403,TCP,1521118750461974,1500,4,5,8,45149,2,0,59,54368
2488517664,2270145455,443,15827,TCP,1521118750461976,1500,4,5,0,24867,2,0,243,38277
2503406236,1074109431,443,62704,TCP,1521118750461978,60,4,5,0,0,2,0,57,56812
751628221,4093844222,443,61075,TCP,1521118750461978,52,4,5,0,0,2,0,240,24376
270433292,3890314065,53,32551,UDP,1521118750461983,125,4,5,0,52493,2,0,54,34821
284281003,1074109364,80,63403,TCP,1521118750461987,1500,4,5,8,45150,2,0,59,54367
268955756,3261364847,80,27703,TCP,1521118750461990,1452,4,5,0,51225,2,0,54,14827
1619070431,3450288969,64379,389,UDP,1521118750461993,79,4,5,0,2694,0,0,246,17095
284281003,1074109364,80,63403,TCP,1521118750461997,1500,4,5,8,45151,2,0,59,54366
2488517664,2270145455,443,15827,TCP,1521118750461999,1500,4,5,0,24868,2,0,243,38276
268955756,3261364847,80,27703,TCP,1521118750462005,1452,4,5,0,51226,2,0,54,14826
3542516036,3618740955,443,57287,UDP,1521118750462008,1378,4,5,0,0,2,0,58,29843
2258940778,3978971487,2515,2412,TCP,1521118750462009,52,4,5,0,22685,2,0,58,30606
284281003,1074109364,80,63403,TCP,1521118750462013,1500,4,5,8,45152,2,0,59,54365
2381068859,3890314075,53,54643,UDP,1521118750462014,322,4,5,0,0,2,0,54,6215
2116530499,3890314025,53,54643,UDP,1521118750462019,120,4,5,8,34333,0,0,55,27321
2310351715,846965651,80,1885,TCP,1521118750462025,1452,4,5,0,3864,2,0,53,40461
284281003,1074109364,80,63403,TCP,1521118750462026,1500,4,5,8,45153,2,0,59,54364
2087007432,2270145426,443,62446,TCP,1521118750462027,303,4,5,0,9808,2,0,118,63849
2310351715,846965651,80,1885,TCP,1521118750462027,1452,4,5,0,3865,2,0,53,40460
3527255879,3618740934,443,26613,UDP,1521118750462029,1378,4,5,0,0,2,0,55,21134
2310351715,846965651,80,1885,TCP,1521118750462030,1452,4,5,0,3866,2,0,53,40459
2310351715,846965651,80,1885,TCP,1521118750462032,1452,4,5,0,3867,2,0,53,40458
2141754651,3237901205,7079,33275,TCP,1521118750462033,1492,4,5,0,45179,2,0,58,16721
284281003,1074109364,80,63403,TCP,1521118750462035,1500,4,5,8,45154,2,0,59,54363
268955756,3261364847,80,27703,TCP,1521118750462036,1452,4,5,0,51227,2,0,54,14825
742878813,3390574803,443,58036,TCP,1521118750462039,60,4,5,0,0,2,0,241,5164
3801788594,4211110795,80,14156,TCP,1521118750462039,1280,4,5,0,27007,2,0,55,54175
2396475794,3452387182,58974,24411,UDP,1521118750462040,58,4,5,0,2545,0,0,122,18723
2141754651,3237901205,7079,33275,TCP,1521118750462041,1492,4,5,0,45180,2,0,58,16720
3801788594,4211110795,80,14156,TCP,1521118750462042,1280,4,5,0,27008,2,0,55,54174
2258940778,3978971487,2515,2412,TCP,1521118750462043,52,4,5,0,22686,2,0,58,30605
